"id","challenge_nutrition_routine"
1,"My schedule doesn't permit regularity in my eating habits"
2,"Temptation for junk food"
3,"My schedule doesn't permit regularity in my eating habits"
4,"Can't cook at home"
4,"My schedule doesn't permit regularity in my eating habits"
5,"Lack of understanding what to eat when and in what proportion"
5,"Find it too difficult to follow a routine"
6,"My schedule doesn't permit regularity in my eating habits"
7,"Temptation for junk food"
7,"Find it too difficult to follow a routine"
8,"Lack of understanding what to eat when and in what proportion"
8,"Temptation for junk food"
8,"Find it too difficult to follow a routine"
9,"Temptation for junk food"
9,"My schedule doesn't permit regularity in my eating habits"
10,"Lack of understanding what to eat when and in what proportion"
10,"Temptation for junk food"
10,"Find it too difficult to follow a routine"
11,"My schedule doesn't permit regularity in my eating habits"
11,"Find it too difficult to follow a routine"
12,"Temptation for junk food"
12,"My schedule doesn't permit regularity in my eating habits"
12,"Find it too difficult to follow a routine"
13,"Can't cook at home"
14,"Temptation for junk food"
15,"Temptation for junk food"
15,"My schedule doesn't permit regularity in my eating habits"
15,"Find it too difficult to follow a routine"
16,"Lack of understanding what to eat when and in what proportion"
16,"Temptation for junk food"
16,"My schedule doesn't permit regularity in my eating habits"
16,"Find it too difficult to follow a routine"
17,"I follow a balanced diet routine"
18,"Lack of understanding what to eat when and in what proportion"
18,"My schedule doesn't permit regularity in my eating habits"
19,"Find it too difficult to follow a routine"
20,"Lack of understanding what to eat when and in what proportion"
20,"Temptation for junk food"
21,"Lack of understanding what to eat when and in what proportion"
21,"My schedule doesn't permit regularity in my eating habits"
22,"Find it too difficult to follow a routine"
23,"I follow a balanced diet routine"
24,"I follow a balanced diet routine"
25,"Lack of understanding what to eat when and in what proportion"
25,"My schedule doesn't permit regularity in my eating habits"
26,"Lack of understanding what to eat when and in what proportion"
26,"Temptation for junk food"
26,"My schedule doesn't permit regularity in my eating habits"
26,"Find it too difficult to follow a routine"
27,"Temptation for junk food"
28,"Lack of understanding what to eat when and in what proportion"
28,"Temptation for junk food"
29,"Temptation for junk food"
29,"My schedule doesn't permit regularity in my eating habits"
29,"Find it too difficult to follow a routine"
30,"Lack of understanding what to eat when and in what proportion"
30,"Find it too difficult to follow a routine"
31,"Temptation for junk food"
31,"My schedule doesn't permit regularity in my eating habits"
31,"Find it too difficult to follow a routine"
32,"Lack of understanding what to eat when and in what proportion"
32,"Temptation for junk food"
32,"Can't cook at home"
32,"I follow a balanced diet routine"
33,"Lack of understanding what to eat when and in what proportion"
33,"My schedule doesn't permit regularity in my eating habits"
33,"Find it too difficult to follow a routine"
34,"Temptation for junk food"
34,"Can't cook at home"
34,"Find it too difficult to follow a routine"
35,"Lack of understanding what to eat when and in what proportion"
35,"Find it too difficult to follow a routine"
36,"Temptation for junk food"
36,"My schedule doesn't permit regularity in my eating habits"
37,"Temptation for junk food"
37,"My schedule doesn't permit regularity in my eating habits"
38,"Lack of understanding what to eat when and in what proportion"
39,"My schedule doesn't permit regularity in my eating habits"
39,"Find it too difficult to follow a routine"
40,"Find it too difficult to follow a routine"
41,"My schedule doesn't permit regularity in my eating habits"
42,"Lack of understanding what to eat when and in what proportion"
42,"Temptation for junk food"
43,"Temptation for junk food"
43,"Find it too difficult to follow a routine"
43,"I follow a balanced diet routine"
44,"Temptation for junk food"
45,"Lack of understanding what to eat when and in what proportion"
46,"Lack of understanding what to eat when and in what proportion"
46,"Temptation for junk food"
46,"My schedule doesn't permit regularity in my eating habits"
46,"Find it too difficult to follow a routine"
47,"Temptation for junk food"
47,"Find it too difficult to follow a routine"
48,"Temptation for junk food"
49,"Temptation for junk food"
50,"Can't cook at home"
50,"Find it too difficult to follow a routine"
50,"I follow a balanced diet routine"
51,"Can't cook at home"
51,"Find it too difficult to follow a routine"
51,"I follow a balanced diet routine"
52,"My schedule doesn't permit regularity in my eating habits"
52,"I follow a balanced diet routine"
53,"Lack of understanding what to eat when and in what proportion"
53,"My schedule doesn't permit regularity in my eating habits"
53,"Find it too difficult to follow a routine"
54,"Temptation for junk food"
54,"My schedule doesn't permit regularity in my eating habits"
54,"Find it too difficult to follow a routine"
55,"Lack of understanding what to eat when and in what proportion"
55,"Temptation for junk food"
55,"Can't cook at home"
55,"Find it too difficult to follow a routine"
56,"My schedule doesn't permit regularity in my eating habits"
57,"My schedule doesn't permit regularity in my eating habits"
57,"Find it too difficult to follow a routine"
58,"Temptation for junk food"
58,"Find it too difficult to follow a routine"
59,"I follow a balanced diet routine"
60,"Temptation for junk food"
60,"Can't cook at home"
60,"My schedule doesn't permit regularity in my eating habits"
60,"I follow a balanced diet routine"
61,"Temptation for junk food"
61,"My schedule doesn't permit regularity in my eating habits"
61,"Find it too difficult to follow a routine"
61,"I follow a balanced diet routine"
62,"Temptation for junk food"
62,"Can't cook at home"
62,"My schedule doesn't permit regularity in my eating habits"
62,"I follow a balanced diet routine"
63,"Lack of understanding what to eat when and in what proportion"
63,"Can't cook at home"
63,"My schedule doesn't permit regularity in my eating habits"
64,"Temptation for junk food"
64,"Can't cook at home"
64,"My schedule doesn't permit regularity in my eating habits"
64,"I follow a balanced diet routine"
65,"Lack of understanding what to eat when and in what proportion"
65,"Temptation for junk food"
65,"My schedule doesn't permit regularity in my eating habits"
65,"Find it too difficult to follow a routine"
65,"I follow a balanced diet routine"
66,"Lack of understanding what to eat when and in what proportion"
66,"Temptation for junk food"
66,"Find it too difficult to follow a routine"
67,"Lack of understanding what to eat when and in what proportion"
67,"My schedule doesn't permit regularity in my eating habits"
67,"Find it too difficult to follow a routine"
68,"Lack of understanding what to eat when and in what proportion"
69,"Lack of understanding what to eat when and in what proportion"
70,"Can't cook at home"
71,"Temptation for junk food"
72,"Temptation for junk food"
73,"I follow a balanced diet routine"
74,"I follow a balanced diet routine"
75,"Temptation for junk food"
76,"Lack of understanding what to eat when and in what proportion"
76,"My schedule doesn't permit regularity in my eating habits"
77,"Find it too difficult to follow a routine"
78,"Temptation for junk food"
78,"My schedule doesn't permit regularity in my eating habits"
79,"Find it too difficult to follow a routine"
80,"I follow a balanced diet routine"
81,"I follow a balanced diet routine"
82,"Lack of understanding what to eat when and in what proportion"
83,"Lack of understanding what to eat when and in what proportion"
83,"Temptation for junk food"
83,"My schedule doesn't permit regularity in my eating habits"
83,"Find it too difficult to follow a routine"
84,"Temptation for junk food"
85,"Lack of understanding what to eat when and in what proportion"
85,"Temptation for junk food"
85,"Can't cook at home"
85,"I follow a balanced diet routine"
86,"Lack of understanding what to eat when and in what proportion"
86,"Temptation for junk food"
86,"My schedule doesn't permit regularity in my eating habits"
86,"I follow a balanced diet routine"
87,"Temptation for junk food"
87,"Can't cook at home"
87,"Find it too difficult to follow a routine"
87,"I follow a balanced diet routine"
88,"Lack of understanding what to eat when and in what proportion"
88,"Can't cook at home"
88,"My schedule doesn't permit regularity in my eating habits"
88,"Find it too difficult to follow a routine"
88,"I follow a balanced diet routine"
89,"Lack of understanding what to eat when and in what proportion"
89,"My schedule doesn't permit regularity in my eating habits"
89,"Find it too difficult to follow a routine"
89,"I follow a balanced diet routine"
90,"Lack of understanding what to eat when and in what proportion"
90,"Can't cook at home"
90,"Find it too difficult to follow a routine"
90,"I follow a balanced diet routine"
91,"Temptation for junk food"
91,"Can't cook at home"
91,"Find it too difficult to follow a routine"
92,"Lack of understanding what to eat when and in what proportion"
92,"Can't cook at home"
92,"My schedule doesn't permit regularity in my eating habits"
92,"Find it too difficult to follow a routine"
93,"Lack of understanding what to eat when and in what proportion"
93,"Temptation for junk food"
93,"My schedule doesn't permit regularity in my eating habits"
93,"I follow a balanced diet routine"
94,"Temptation for junk food"
94,"Can't cook at home"
94,"My schedule doesn't permit regularity in my eating habits"
94,"Find it too difficult to follow a routine"
95,"Temptation for junk food"
95,"My schedule doesn't permit regularity in my eating habits"
95,"Find it too difficult to follow a routine"
95,"I follow a balanced diet routine"
96,"Lack of understanding what to eat when and in what proportion"
96,"Temptation for junk food"
97,"Temptation for junk food"
97,"My schedule doesn't permit regularity in my eating habits"
97,"Find it too difficult to follow a routine"
97,"I follow a balanced diet routine"
98,"Lack of understanding what to eat when and in what proportion"
98,"Temptation for junk food"
98,"Can't cook at home"
98,"Find it too difficult to follow a routine"
99,"Lack of understanding what to eat when and in what proportion"
100,"Can't cook at home"
101,"Lack of understanding what to eat when and in what proportion"
101,"Temptation for junk food"
102,"Temptation for junk food"
102,"Find it too difficult to follow a routine"
103,"Lack of understanding what to eat when and in what proportion"
104,"Temptation for junk food"
105,"Lack of understanding what to eat when and in what proportion"
105,"Temptation for junk food"
105,"Find it too difficult to follow a routine"
106,"Find it too difficult to follow a routine"
107,"My schedule doesn't permit regularity in my eating habits"
108,"Lack of understanding what to eat when and in what proportion"
108,"Temptation for junk food"
108,"My schedule doesn't permit regularity in my eating habits"
109,"Lack of understanding what to eat when and in what proportion"
109,"Temptation for junk food"
109,"Can't cook at home"
110,"Lack of understanding what to eat when and in what proportion"
111,"Lack of understanding what to eat when and in what proportion"
111,"Temptation for junk food"
111,"My schedule doesn't permit regularity in my eating habits"
112,"My schedule doesn't permit regularity in my eating habits"
113,"Lack of understanding what to eat when and in what proportion"
114,"Can't cook at home"
115,"I follow a balanced diet routine"
116,"My schedule doesn't permit regularity in my eating habits"
117,"My schedule doesn't permit regularity in my eating habits"
117,"Find it too difficult to follow a routine"
118,"Lack of understanding what to eat when and in what proportion"
118,"My schedule doesn't permit regularity in my eating habits"
118,"Find it too difficult to follow a routine"
119,"Find it too difficult to follow a routine"
120,"Lack of understanding what to eat when and in what proportion"
120,"My schedule doesn't permit regularity in my eating habits"
121,"Lack of understanding what to eat when and in what proportion"
121,"Temptation for junk food"
121,"Find it too difficult to follow a routine"
122,"I follow a balanced diet routine"
123,"My schedule doesn't permit regularity in my eating habits"
123,"Find it too difficult to follow a routine"
124,"Lack of understanding what to eat when and in what proportion"
124,"Temptation for junk food"
125,"Can't cook at home"
125,"Find it too difficult to follow a routine"
126,"Lack of understanding what to eat when and in what proportion"
126,"Temptation for junk food"
127,"Temptation for junk food"
127,"My schedule doesn't permit regularity in my eating habits"
128,"My schedule doesn't permit regularity in my eating habits"
129,"My schedule doesn't permit regularity in my eating habits"
130,"Temptation for junk food"
131,"My schedule doesn't permit regularity in my eating habits"
131,"Find it too difficult to follow a routine"
132,"Find it too difficult to follow a routine"
133,"Lack of understanding what to eat when and in what proportion"
133,"Temptation for junk food"
133,"Find it too difficult to follow a routine"
134,"Lack of understanding what to eat when and in what proportion"
134,"Temptation for junk food"
134,"Find it too difficult to follow a routine"
135,"Temptation for junk food"
135,"Find it too difficult to follow a routine"
136,"My schedule doesn't permit regularity in my eating habits"
137,"My schedule doesn't permit regularity in my eating habits"
137,"Find it too difficult to follow a routine"
138,"Temptation for junk food"
138,"Can't cook at home"
139,"Temptation for junk food"
139,"Find it too difficult to follow a routine"
140,"Lack of understanding what to eat when and in what proportion"
140,"Temptation for junk food"
140,"My schedule doesn't permit regularity in my eating habits"
140,"Find it too difficult to follow a routine"
141,"Temptation for junk food"
141,"My schedule doesn't permit regularity in my eating habits"
141,"Find it too difficult to follow a routine"
142,"Lack of understanding what to eat when and in what proportion"
142,"Temptation for junk food"
142,"My schedule doesn't permit regularity in my eating habits"
142,"Find it too difficult to follow a routine"
142,"I follow a balanced diet routine"
143,"Lack of understanding what to eat when and in what proportion"
143,"Temptation for junk food"
143,"My schedule doesn't permit regularity in my eating habits"
143,"Find it too difficult to follow a routine"
144,"Lack of understanding what to eat when and in what proportion"
144,"Temptation for junk food"
144,"Can't cook at home"
144,"My schedule doesn't permit regularity in my eating habits"
144,"Find it too difficult to follow a routine"
145,"Lack of understanding what to eat when and in what proportion"
145,"Temptation for junk food"
145,"Can't cook at home"
145,"Find it too difficult to follow a routine"
146,"Lack of understanding what to eat when and in what proportion"
146,"Temptation for junk food"
146,"Can't cook at home"
146,"My schedule doesn't permit regularity in my eating habits"
146,"Find it too difficult to follow a routine"
146,"I follow a balanced diet routine"
147,"Lack of understanding what to eat when and in what proportion"
147,"Temptation for junk food"
147,"My schedule doesn't permit regularity in my eating habits"
148,"Lack of understanding what to eat when and in what proportion"
148,"Temptation for junk food"
148,"Find it too difficult to follow a routine"
149,"Lack of understanding what to eat when and in what proportion"
149,"Temptation for junk food"
149,"My schedule doesn't permit regularity in my eating habits"
150,"Lack of understanding what to eat when and in what proportion"
150,"Can't cook at home"
150,"Find it too difficult to follow a routine"
151,"Lack of understanding what to eat when and in what proportion"
151,"Find it too difficult to follow a routine"
152,"Lack of understanding what to eat when and in what proportion"
152,"Temptation for junk food"
152,"Find it too difficult to follow a routine"
153,"Lack of understanding what to eat when and in what proportion"
153,"My schedule doesn't permit regularity in my eating habits"
153,"Find it too difficult to follow a routine"
154,"Temptation for junk food"
155,"Temptation for junk food"
155,"Can't cook at home"
155,"Find it too difficult to follow a routine"
156,"Can't cook at home"
156,"Find it too difficult to follow a routine"
156,"I follow a balanced diet routine"
157,"Temptation for junk food"
157,"My schedule doesn't permit regularity in my eating habits"
157,"Find it too difficult to follow a routine"
158,"Lack of understanding what to eat when and in what proportion"
158,"Temptation for junk food"
158,"Can't cook at home"
158,"My schedule doesn't permit regularity in my eating habits"
158,"Find it too difficult to follow a routine"
159,"Lack of understanding what to eat when and in what proportion"
159,"Temptation for junk food"
159,"Can't cook at home"
159,"My schedule doesn't permit regularity in my eating habits"
160,"Lack of understanding what to eat when and in what proportion"
160,"Temptation for junk food"
160,"Can't cook at home"
160,"Find it too difficult to follow a routine"
161,"Lack of understanding what to eat when and in what proportion"
161,"Temptation for junk food"
161,"Can't cook at home"
161,"Find it too difficult to follow a routine"
162,"Lack of understanding what to eat when and in what proportion"
162,"Temptation for junk food"
162,"Can't cook at home"
162,"Find it too difficult to follow a routine"
162,"I follow a balanced diet routine"
163,"Lack of understanding what to eat when and in what proportion"
163,"Can't cook at home"
163,"My schedule doesn't permit regularity in my eating habits"
163,"Find it too difficult to follow a routine"
164,"Lack of understanding what to eat when and in what proportion"
164,"Temptation for junk food"
164,"Can't cook at home"
164,"My schedule doesn't permit regularity in my eating habits"
165,"Lack of understanding what to eat when and in what proportion"
165,"Temptation for junk food"
165,"My schedule doesn't permit regularity in my eating habits"
165,"Find it too difficult to follow a routine"
165,"I follow a balanced diet routine"
166,"Temptation for junk food"
166,"Can't cook at home"
166,"My schedule doesn't permit regularity in my eating habits"
166,"Find it too difficult to follow a routine"
167,"Lack of understanding what to eat when and in what proportion"
167,"Temptation for junk food"
167,"My schedule doesn't permit regularity in my eating habits"
168,"Can't cook at home"
168,"My schedule doesn't permit regularity in my eating habits"
168,"I follow a balanced diet routine"
169,"Can't cook at home"
169,"My schedule doesn't permit regularity in my eating habits"
169,"Find it too difficult to follow a routine"
170,"Lack of understanding what to eat when and in what proportion"
170,"Temptation for junk food"
170,"My schedule doesn't permit regularity in my eating habits"
170,"Find it too difficult to follow a routine"
171,"Temptation for junk food"
171,"My schedule doesn't permit regularity in my eating habits"
171,"Find it too difficult to follow a routine"
171,"I follow a balanced diet routine"
172,"Lack of understanding what to eat when and in what proportion"
172,"Temptation for junk food"
172,"Can't cook at home"
172,"Find it too difficult to follow a routine"
173,"Temptation for junk food"
173,"Can't cook at home"
173,"My schedule doesn't permit regularity in my eating habits"
173,"Find it too difficult to follow a routine"
174,"Temptation for junk food"
174,"Can't cook at home"
174,"I follow a balanced diet routine"
175,"Can't cook at home"
175,"My schedule doesn't permit regularity in my eating habits"
175,"I follow a balanced diet routine"
176,"Temptation for junk food"
176,"My schedule doesn't permit regularity in my eating habits"
176,"I follow a balanced diet routine"
177,"Lack of understanding what to eat when and in what proportion"
177,"Temptation for junk food"
177,"Can't cook at home"
177,"I follow a balanced diet routine"
178,"Temptation for junk food"
178,"My schedule doesn't permit regularity in my eating habits"
178,"Find it too difficult to follow a routine"
178,"I follow a balanced diet routine"
179,"Temptation for junk food"
179,"Can't cook at home"
179,"Find it too difficult to follow a routine"
180,"Lack of understanding what to eat when and in what proportion"
180,"My schedule doesn't permit regularity in my eating habits"
180,"I follow a balanced diet routine"
181,"Lack of understanding what to eat when and in what proportion"
181,"My schedule doesn't permit regularity in my eating habits"
181,"I follow a balanced diet routine"
182,"Lack of understanding what to eat when and in what proportion"
182,"Can't cook at home"
182,"My schedule doesn't permit regularity in my eating habits"
182,"Find it too difficult to follow a routine"
183,"Lack of understanding what to eat when and in what proportion"
183,"Temptation for junk food"
183,"Find it too difficult to follow a routine"
184,"Lack of understanding what to eat when and in what proportion"
184,"My schedule doesn't permit regularity in my eating habits"
184,"Find it too difficult to follow a routine"
185,"Temptation for junk food"
185,"Find it too difficult to follow a routine"
186,"Lack of understanding what to eat when and in what proportion"
186,"Temptation for junk food"
187,"Temptation for junk food"
187,"Find it too difficult to follow a routine"
188,"My schedule doesn't permit regularity in my eating habits"
188,"Find it too difficult to follow a routine"
189,"Temptation for junk food"
189,"Find it too difficult to follow a routine"
190,"Can't cook at home"
191,"Lack of understanding what to eat when and in what proportion"
191,"Temptation for junk food"
191,"Find it too difficult to follow a routine"
192,"I follow a balanced diet routine"
193,"My schedule doesn't permit regularity in my eating habits"
194,"My schedule doesn't permit regularity in my eating habits"
195,"Find it too difficult to follow a routine"
196,"Temptation for junk food"
196,"I follow a balanced diet routine"
197,"I follow a balanced diet routine"
198,"My schedule doesn't permit regularity in my eating habits"
198,"Find it too difficult to follow a routine"
199,"My schedule doesn't permit regularity in my eating habits"
200,"Temptation for junk food"
200,"Can't cook at home"
200,"Find it too difficult to follow a routine"
201,"My schedule doesn't permit regularity in my eating habits"
201,"Find it too difficult to follow a routine"
202,"Temptation for junk food"
202,"Can't cook at home"
202,"My schedule doesn't permit regularity in my eating habits"
202,"Find it too difficult to follow a routine"
202,"I follow a balanced diet routine"
203,"My schedule doesn't permit regularity in my eating habits"
203,"I follow a balanced diet routine"
204,"Can't cook at home"
204,"Find it too difficult to follow a routine"
205,"Find it too difficult to follow a routine"
206,"Lack of understanding what to eat when and in what proportion"
206,"Can't cook at home"
206,"Find it too difficult to follow a routine"
206,"I follow a balanced diet routine"
207,"Lack of understanding what to eat when and in what proportion"
207,"Can't cook at home"
207,"Find it too difficult to follow a routine"
207,"I follow a balanced diet routine"
208,"Lack of understanding what to eat when and in what proportion"
208,"Can't cook at home"
208,"Find it too difficult to follow a routine"
208,"I follow a balanced diet routine"
209,"Lack of understanding what to eat when and in what proportion"
209,"Temptation for junk food"
209,"My schedule doesn't permit regularity in my eating habits"
209,"I follow a balanced diet routine"
210,"Temptation for junk food"
210,"My schedule doesn't permit regularity in my eating habits"
210,"Find it too difficult to follow a routine"
211,"Temptation for junk food"
211,"Can't cook at home"
211,"My schedule doesn't permit regularity in my eating habits"
211,"Find it too difficult to follow a routine"
212,"Lack of understanding what to eat when and in what proportion"
212,"Temptation for junk food"
212,"Can't cook at home"
212,"Find it too difficult to follow a routine"
213,"My schedule doesn't permit regularity in my eating habits"
214,"Can't cook at home"
214,"My schedule doesn't permit regularity in my eating habits"
214,"I follow a balanced diet routine"
215,"Temptation for junk food"
215,"Find it too difficult to follow a routine"
216,"Temptation for junk food"
216,"Can't cook at home"
216,"Find it too difficult to follow a routine"
217,"Lack of understanding what to eat when and in what proportion"
217,"Can't cook at home"
217,"Find it too difficult to follow a routine"
218,"Can't cook at home"
218,"Find it too difficult to follow a routine"
218,"I follow a balanced diet routine"
219,"Lack of understanding what to eat when and in what proportion"
219,"Temptation for junk food"
219,"My schedule doesn't permit regularity in my eating habits"
220,"Lack of understanding what to eat when and in what proportion"
220,"Can't cook at home"
220,"My schedule doesn't permit regularity in my eating habits"
221,"Lack of understanding what to eat when and in what proportion"
221,"Can't cook at home"
221,"My schedule doesn't permit regularity in my eating habits"
221,"I follow a balanced diet routine"
222,"Lack of understanding what to eat when and in what proportion"
222,"Can't cook at home"
222,"My schedule doesn't permit regularity in my eating habits"
222,"Find it too difficult to follow a routine"
223,"Lack of understanding what to eat when and in what proportion"
223,"My schedule doesn't permit regularity in my eating habits"
223,"I follow a balanced diet routine"
224,"Temptation for junk food"
224,"Can't cook at home"
225,"Can't cook at home"
225,"I follow a balanced diet routine"
226,"Lack of understanding what to eat when and in what proportion"
226,"Can't cook at home"
226,"My schedule doesn't permit regularity in my eating habits"
226,"Find it too difficult to follow a routine"
227,"I follow a balanced diet routine"
228,"Can't cook at home"
228,"My schedule doesn't permit regularity in my eating habits"
228,"Find it too difficult to follow a routine"
229,"I follow a balanced diet routine"
229,"I don't care enough"
230,"My schedule doesn't permit regularity in my eating habits"
231,"Find it too difficult to follow a routine"
231,"I follow a balanced diet routine"
232,"Lack of understanding what to eat when and in what proportion"
232,"Can't cook at home"
232,"My schedule doesn't permit regularity in my eating habits"
233,"I follow a balanced diet routine"
234,"Lack of understanding what to eat when and in what proportion"
234,"Temptation for junk food"
234,"My schedule doesn't permit regularity in my eating habits"
234,"Find it too difficult to follow a routine"
235,"Temptation for junk food"
235,"Can't cook at home"
235,"My schedule doesn't permit regularity in my eating habits"
236,"Lack of understanding what to eat when and in what proportion"
236,"Temptation for junk food"
236,"My schedule doesn't permit regularity in my eating habits"
237,"Temptation for junk food"
237,"My schedule doesn't permit regularity in my eating habits"
237,"I follow a balanced diet routine"
238,"Can't cook at home"
238,"Find it too difficult to follow a routine"
239,"Temptation for junk food"
239,"Find it too difficult to follow a routine"
239,"I follow a balanced diet routine"
240,"Temptation for junk food"
240,"Can't cook at home"
240,"Find it too difficult to follow a routine"
241,"Lack of understanding what to eat when and in what proportion"
241,"Can't cook at home"
241,"Find it too difficult to follow a routine"
242,"Lack of understanding what to eat when and in what proportion"
242,"Temptation for junk food"
242,"My schedule doesn't permit regularity in my eating habits"
242,"Find it too difficult to follow a routine"
243,"Lack of understanding what to eat when and in what proportion"
243,"Temptation for junk food"
243,"My schedule doesn't permit regularity in my eating habits"
244,"Find it too difficult to follow a routine"
